! Licensed under the Apache License, Version 2.0 (the "License");
! you may not use this file except in compliance with the License.
! You may obtain a copy of the License at
!
!     http://www.apache.org/licenses/LICENSE-2.0
!
! Unless required by applicable law or agreed to in writing, software
! distributed under the License is distributed on an "AS IS" BASIS,
! WITHOUT WARRANTIES OR CONDITIONS OF ANY KIND, either express or implied.
! See the License for the specific language governing permissions and
! limitations under the License.
!
! Copyright 2014 Yandex LLC
! All Rights Reserved.
!
! Author : Alexis Wilpert


!-----------------------------------------------------------------------------------------------------------------------
! YANDEX sampa ru-RU to X-SAMPA (version tuned for TTS)
!
! version 8. Changes:
!   + adapted formally to be processed by the phone groups generation software
!   + minor typos corrected
!
! version 7. Changes:
!   + final version (no additional changes)
!
! version 6. Changes:
!   + C_j --> CJ
!   + review and correction of transcription examples
!
! version 5. Changes:
!   + changed the transcription for the adjective inflections <ой> : <ый> and <ое> : <ая>. The reason
!     is to be able to differentiate within the inflection pairs. A new symbol is needed ([@_r_i]).
!
! version 4. Changes:
!   + drastic reduction of geminate symbols based on frequency analysis.
!   + description of transcription of adjective inflections and proposal of 4 new symbols.
!   + the new phoneme set (including the 4 new symbols proposed) contains 76 symbols.
!
! version 3. Changes:
!   + added new allophones [ZJ] (for voiced [SJ]) and [d_ZJ] (for voiced [t_SJ])
!
! version 2. Changes:
!   + some characters in the symbols mapped to other symbols that will not cause processing problems:
!     - C'  --> C_j
!     - 1   --> i_x
!     - 6   --> @_o
!     - @\  --> @_r
!     - U_" --> U_x

:ALPHABET "x-YANDEX-ttssampa_ru-RU"

! CONSONANTS
! ==========

! YANDEX     X-SAMPA              transcription                  context      example
! -------------------------------------------------------------------------------------
:MAP "p"     :TO "p"              p o l                          LEX          пол
:MAP "pJ"    :TO "p" "'"          pJ a tJ                        LEX          пять
:MAP "b"     :TO "b"              b u r                          LEX          бур
:MAP "bJ"    :TO "b" "'"          bJ i t                         LEX          бит
:MAP "t"     :TO "t"              t o m                          LEX          том
:MAP "tJ"    :TO "t" "'"          tJ i r                         LEX          тир
:MAP "d"     :TO "d"              d o m                          LEX          дом
:MAP "dJ"    :TO "d" "'"          dJ a dJ @                      LEX          дядя
:MAP "k"     :TO "k"              k o t                          LEX          кот
:MAP "kJ"    :TO "k" "'"          kJ i t                         LEX          кит
:MAP "g"     :TO "g"              g u S                          LEX          гуж
:MAP "gJ"    :TO "g" "'"          gJ i t                         LEX          гид
:MAP "m"     :TO "m"              m u l                          LEX          мул
:MAP "mJ"    :TO "m" "'"          mJ a l                         LEX          мял
:MAP "n"     :TO "n"              n o s                          LEX          нос
:MAP "nJ"    :TO "n" "'"          nJ i s                         LEX          низ
:MAP "l"     :TO "l"              l a s                          LEX          лаз
:MAP "lJ"    :TO "l" "'"          lJ e s                         LEX          лес
:MAP "r"     :TO "r"              r a k                          LEX          рак
:MAP "rJ"    :TO "r" "'"          rJ i m                         LEX          Рим
:MAP "f"     :TO "f"              f o n                          LEX          фон
:MAP "fJ"    :TO "f" "'"          fJ e n                         LEX          фен
:MAP "v"     :TO "v"              v o r                          LEX          вор
:MAP "vJ"    :TO "v" "'"          vJ i n t                       LEX          винт
:MAP "s"     :TO "s"              s o n                          LEX          сон
:MAP "sJ"    :TO "s" "'"          sJ i l @                       LEX          сила
:MAP "z"     :TO "z"              z u p                          LEX          зуб
